"","Price","Living.area","bedrooms","bathrooms","year","garage"
"1",550000,2800,4,3,1940,2
"2",619900,2770,4,3,1924,1
"3",499862,2184,4,2,1926,2
"4",629000,2105,4,2,1927,2
"5",539900,2152,3,3,1927,2
"6",759000,2240,3,3,1909,2
"7",3e+05,1617,4,3.5,1973,2
"8",3e+05,2600,4,2.5,1941,0
"9",7e+05,2550,4,3,1954,2
"10",699999,3500,5,4,1928,3
"11",699999,2760,5,3,1942,3
"12",499999,3576,4,3.5,1985,2
"13",419900,4155,4,3.5,1987,2
"14",699000,3700,5,4,1986,2
"15",595000,3752,5,3.5,1996,2
"16",499900,2754,4,2.5,2002,2
"17",468850,2800,5,3.5,1996,2
"18",794800,4000,5,3,1945,1
"19",690000,3800,4,2,1950,1
"20",650000,4000,4,1.5,1905,1
"21",650000,3000,3,2,1925,0
"22",649000,4100,3,2.5,1945,1
"23",649000,4000,3,2.5,1950,2
"24",425000,1418,3,1.5,1910,1
"25",419000,1862,4,1,1891,0
"26",419000,1252,3,1,1911,0
"27",399900,1308,4,2,1956,0
"28",449900,3000,5,2,1916,0
"29",325000,2043,4,1,1899,0
"30",495000,3200,4,3.5,1940,6
"31",774500,4400,5,5,2007,2
"32",749000,3120,4,4.5,2008,2
"33",679000,3108,4,3.5,1977,0
"34",944900,3345,4,4,2008,3
"35",1100000,3400,4,3.5,1880,2
"36",1190000,2900,5,3.5,1964,2
"37",999000,2700,6,3.5,1880,0
"38",674500,1600,3,1.5,1937,1
"39",449000,1000,2,1,1950,0
"40",599900,1600,3,2,1952,2
"41",350000,1152,4,2,1979,0
"42",378876,1048,2,2,1884,0
"43",329900,1555,4,2,1924,0
"44",389900,1640,3,2,1962,1
"45",369500,1565,3,2,1952,0
"46",345000,1396,4,2,1959,1
"47",384500,1357,3,2,1910,1
"48",189900,2650,3,2.5,1950,1
"49",189000,2294,5,3,1920,0
"50",168000,1934,4,1.5,1915,1
"51",159000,1737,4,2,1920,2
"52",1e+05,2656,5,2.5,1910,0
"53",109000,1400,4,2,1920,0
"54",155000,1824,4,2,1900,0
"55",789900,3453,4,3.5,1986,3
"56",699000,2600,3,2.5,2008,1
"57",524899,3300,4,2.5,2008,2
"58",499900,3000,4,2.5,2008,2
"59",289000,2196,3,2.5,1989,1
"60",285000,2669,4,4,1989,2
"61",259800,2346,3,2.5,1989,2
"62",205000,1908,3,2.5,1967,2
"63",199900,1992,3,1.5,1970,2
"64",849900,2310,4,2.5,1951,0
"65",879000,4225,4,3.5,1985,3
"66",745000,2494,4,2.5,1969,0
"67",599000,2600,4,2.5,2008,2
"68",525000,4400,4,3,1995,2
"69",359900,3483,4,2.5,1987,2
"70",515000,4310,4,3.5,1969,2
"71",324900,3635,4,2.5,1989,2
"72",348900,3000,4,2.5,2005,2
"73",4e+05,2000,3,2.5,1987,0
"74",4e+05,1000,3,1.5,1910,0
"75",5e+05,2000,4,2.5,1965,1
"76",4e+05,2000,3,1.5,1956,1
"77",525000,2000,3,2,2008,1
"78",475000,2000,4,2,1965,1
"79",699000,3300,3,1,1955,1
"80",678888,5000,3,2,1935,1
"81",729000,4000,4,2.5,1940,1
"82",718000,3000,3,2.5,1930,2
"83",699000,1600,3,2.5,1930,1
"84",598888,1900,3,2.5,1940,1
"85",575000,4000,3,1.5,1930,1
"86",299000,2118,4,2.5,1958,2
"87",299000,2683,4,2.5,1956,2
"88",290000,2403,4,2.5,1967,2
"89",275000,2707,4,2.5,1962,2
"90",245000,2832,3,2.5,1960,2
"91",299900,2494,4,2.5,1959,2
"92",3e+05,2783,5,3,1970,2
"93",224900,1406,3,2,1944,1
"94",399900,2339,3,2.5,1989,2
"95",397500,3600,4,3.5,2001,2
"96",364500,2989,3,2.5,1985,2
"97",325900,3670,6,3.5,1973,2
"98",289000,1828,3,2.5,1984,2
"99",497000,2096,3,2.5,1978,2
"100",407500,2158,4,2.5,1975,2
"101",274900,1735,4,2.5,1930,1
"102",539900,2426,4,2.5,2005,2
"103",454900,2900,4,3.5,1993,2
"104",539000,3048,3,2.5,1980,2
"105",498000,4207,6,4,2007,3
